,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
97,0,-968.184814,669.998291,1046.299194,-1083.893677,803.928406,818.160034,-1092.696899,566.751343,800.613892,-875.584717,583.96991,810,-870.705994,772.642822,807.349609
98,0,-968.202942,669.982056,1046.292114,-1083.88562,803.927124,818.149719,-1092.696289,566.744568,800.624268,-875.585876,583.961853,810.003235,-870.7099,772.631531,807.360413
99,0,-968.206604,669.988342,1046.292114,-1083.886719,803.934998,818.150452,-1092.680054,566.754944,800.619568,-875.5849,583.976562,809.989197,-870.718628,772.648987,807.367859
100,0,-968.222656,669.991272,1046.302612,-1083.896606,803.924316,818.152283,-1092.708496,566.754639,800.614746,-875.593018,583.97522,810.002014,-870.722168,772.646912,807.356506
101,0,-968.229492,669.989075,1046.299683,-1083.905518,803.922424,818.14978,-1092.693726,566.756714,800.611206,-875.603088,583.970825,810.007935,-870.739441,772.638123,807.358948
102,0,-968.228882,669.990356,1046.292847,-1083.908691,803.920471,818.141113,-1092.622681,566.845154,800.503235,-875.613342,583.964233,810.000854,-870.728088,772.636658,807.371094
103,0,-968.230164,669.987,1046.303345,-1083.925049,803.914246,818.153931,-1092.700928,566.765991,800.597229,-875.608948,583.964111,810.007874,-870.753296,772.646362,807.366272
104,0,-968.250549,669.9776,1046.29834,-1083.921753,803.915405,818.141174,-1092.697632,566.768127,800.572266,-875.630859,583.952271,810.011108,-870.754456,772.633484,807.367554
105,0,-968.256958,669.971802,1046.30188,-1083.920288,803.916748,818.141663,-1092.70752,566.760132,800.587708,-875.622131,583.961487,810.002258,-870.756042,772.633423,807.358643
106,0,-968.265686,669.99115,1046.28479,-1083.936157,803.904358,818.148804,-1092.694702,566.773254,800.571411,-875.613403,583.973816,810.002258,-870.758301,772.633179,807.368958
107,0,-968.271606,669.985107,1046.302734,-1083.94519,803.90448,818.146667,-1092.747559,566.740112,800.607117,-875.618164,583.964355,810.011719,-870.768311,772.637756,807.365295
108,0,-968.273193,669.990173,1046.283813,-1083.961304,803.902161,818.145203,-1092.516235,566.773438,800.420349,-875.623169,583.953186,810.008423,-870.780334,772.639038,807.365662
109,0,-968.284851,669.981567,1046.275024,-1083.951416,803.904053,818.134216,-1092.731079,566.747131,800.593567,-875.621887,583.964417,809.999451,-870.766602,772.639893,807.365723
